device_name,resistance,capacitance,temperature,voltage,frequency,file_name
e12,800.0,1e-09,300,0.935,24134.52368681442,LZ5G-e12-0.8kOhm-1nF-300K-0.935V.csv
e12,800.0,1e-09,300,0.93,19298.801515960964,SVBN-e12-0.8kOhm-1nF-300K-0.930V.csv
e12,800.0,1e-08,300,0.9,61131.62487072192,H93D-e12-0.8kOhm-10nF-300K-0.900V.csv
e12,800.0,1e-09,300,0.91,23565.41414208357,XAFB-e12-0.8kOhm-1nF-300K-0.910V.csv
e12,800.0,1e-08,300,0.98,65591.18179933022,N48K-e12-0.8kOhm-10nF-300K-0.980V.csv
e12,800.0,1e-09,300,0.95,89209.43160377903,F6JY-e12-0.8kOhm-1nF-300K-0.950V.csv
e12,800.0,1e-08,300,0.99,65384.82074501335,CNV2-e12-0.8kOhm-10nF-300K-0.990V.csv
e12,800.0,1e-09,300,0.91,19433.91054563711,RH9N-e12-0.8kOhm-1nF-300K-0.910V.csv
e12,800.0,1e-08,300,0.94,60373.999401928275,IW59-e12-0.8kOhm-10nF-300K-0.940V.csv
e12,800.0,1e-08,300,0.94,66711.00019894665,23KU-e12-0.8kOhm-10nF-300K-0.940V.csv
e12,800.0,1e-08,300,0.96,65134.88163595681,OANA-e12-0.8kOhm-10nF-300K-0.960V.csv
e12,800.0,1e-09,300,0.94,22885.583491601737,6ZM9-e12-0.8kOhm-1nF-300K-0.940V.csv
e12,800.0,1e-08,300,0.9,61198.029289715945,F0CU-e12-0.8kOhm-10nF-300K-0.900V.csv
e12,800.0,1e-09,300,0.94,89209.43160377903,LJ7P-e12-0.8kOhm-1nF-300K-0.940V.csv
e12,800.0,1e-08,300,0.97,63873.23516451595,S8V6-e12-0.8kOhm-10nF-300K-0.970V.csv
e11,800.0,1e-08,300,1.04,1997.454924884635,AP8I-e11-0.8kOhm-10nF-300K-1.040V.csv
e11,800.0,1e-08,300,1.06,2026.6601411731751,1H6N-e11-0.8kOhm-10nF-300K-1.060V.csv
e11,1000.0,1e-08,300,1.13,25893.69465217465,XXZU-e11-1kOhm-10nF-300K-1.130V.csv
e11,1000.0,1e-08,300,1.13,25984.991729022386,UV9Y-e11-1kOhm-10nF-300K-1.130V.csv
e11,1000.0,1e-08,300,1.25,14997.82016456051,DF8R-e11-1kOhm-10nF-300K-1.250V.csv
e11,1000.0,1e-08,300,1.1,29377.3459417524,0F2M-e11-1kOhm-10nF-300K-1.100V.csv
e11,800.0,1e-08,300,1.07,2299.8795087921885,N5WX-e11-0.8kOhm-10nF-300K-1.070V.csv
e11,800.0,1e-08,300,1.01,3862.2030190566593,KRSB-e11-0.8kOhm-10nF-300K-1.010V.csv
e11,1000.0,1e-08,300,1.2,13367.294466132113,W99W-e11-1kOhm-10nF-300K-1.200V.csv
e11,800.0,1e-08,300,0.99,1929.3640506882168,QB9W-e11-0.8kOhm-10nF-300K-0.990V.csv
e11,800.0,1e-08,300,1.06,1991.279915925206,CUKX-e11-0.8kOhm-10nF-300K-1.060V.csv
e11,800.0,1e-08,300,1.05,2026.6601411731751,ECSJ-e11-0.8kOhm-10nF-300K-1.050V.csv
e11,800.0,1e-08,300,1.05,1964.2787916952761,OUN4-e11-0.8kOhm-10nF-300K-1.050V.csv
e11,1000.0,1e-08,300,1.12,30351.49588852265,HFUG-e11-1kOhm-10nF-300K-1.120V.csv
e11,1000.0,1e-08,300,1.21,12919.437729373147,5B2C-e11-1kOhm-10nF-300K-1.210V.csv
